"province","assembly","candidate_party","candidate_filing_count"
"Balochistan","National Assembly","All Pakistan Muslim League",1
"Balochistan","National Assembly","All Pakistan Tehreek",1
"Balochistan","National Assembly","Allah-O-Akbar Tehreek",5
"Balochistan","National Assembly","Amun Taraqqi Party",1
"Balochistan","National Assembly","Awami National Party",8
"Balochistan","National Assembly","Balochistan Awami Party",14
"Balochistan","National Assembly","Balochistan National Movement",3
"Balochistan","National Assembly","Balochistan National Party",13
"Balochistan","National Assembly","Balochistan National Party (Awami)",8
"Balochistan","National Assembly","Hazara Democratic Party",2
"Balochistan","National Assembly","Illegible",10
"Balochistan","National Assembly","Independent",113
"Balochistan","National Assembly","Jamhoori Watan Party",1
"Balochistan","National Assembly","Jamiat Ulama-e-lslam Nazaryati Pakistan",8
"Balochistan","National Assembly","Jamiyat Ulma-e-lslam Pakistan (S)",3
"Balochistan","National Assembly","Jamote Qaumi Movement",1
"Balochistan","National Assembly","Majlis Wahdat-e-Muslimeen Pakistan",1
"Balochistan","National Assembly","Mutahida Majlis-e-Amal Pakistan",14
"Balochistan","National Assembly","Muttahida Qaumi Movement Pakistan",1
"Balochistan","National Assembly","National Party",10
"Balochistan","National Assembly","National Peace Council Party",1
"Balochistan","National Assembly","Pak Sarzameen Party",6
"Balochistan","National Assembly","Pakhtoonkhwa Milli Awami Party",8
"Balochistan","National Assembly","Pakistan Falah Party",1
"Balochistan","National Assembly","Pakistan Justice and Democratic Party",1
"Balochistan","National Assembly","Pakistan Muslim League",1
"Balochistan","National Assembly","Pakistan Muslim League (N)",11
"Balochistan","National Assembly","Pakistan Peoples Party Parliamentarians",14
"Balochistan","National Assembly","Pakistan Reh-e- Haq Party",4
"Balochistan","National Assembly","Pakistan Tehreek-e-lnsaf",13
"Balochistan","National Assembly","Qaumi Watan Party",1
"Balochistan","National Assembly","Tehreek Labbaik Pakistan",5
"Balochistan","National Assembly","Tehreek-e-Labbaik Islam",3
"Balochistan","National Assembly","Tehrik Jawanan Pakistan",1
"Islamabad","National Assembly","Aam Log Party Pakistan",1
"Islamabad","National Assembly","All Pakistan Muslim League",2
"Islamabad","National Assembly","Allah-O-Akbar Tehreek",1
"Islamabad","National Assembly","Amun Taraqqi Party",1
"Islamabad","National Assembly","Awami National Party",1
"Islamabad","National Assembly","Awami Workers Party",2
"Islamabad","National Assembly","Humdardan-e-Watan Pakistan",3
"Islamabad","National Assembly","Independent",36
"Islamabad","National Assembly","Mutahida Majlis-e-Amal Pakistan",3
"Islamabad","National Assembly","National Party",1
"Islamabad","National Assembly","Pak Sarzameen Party",1
"Islamabad","National Assembly","Pakhtoonkhwa Milli Awami Party",1
"Islamabad","National Assembly","Pakistan Awami League",1
"Islamabad","National Assembly","Pakistan Justice and Democratic Party",2
"Islamabad","National Assembly","Pakistan Muslim League (N)",3
"Islamabad","National Assembly","Pakistan Peoples Party Parliamentarians",3
"Islamabad","National Assembly","Pakistan Tehreek-e-lnsaf",3
"Islamabad","National Assembly","Pakistan Tehreek-e-lnsaf-Gulalai",2
"Islamabad","National Assembly","Tehreek Labbaik Pakistan",3
"Islamabad","National Assembly","Tehreek-e-Labbaik Islam",3
"KPK","National Assembly","All Pakistan Muslim League",10
"KPK","National Assembly","Allah-O-Akbar Tehreek",7
"KPK","National Assembly","Amun Taraqqi Party",2
"KPK","National Assembly","Awami National Party",38
"KPK","National Assembly","Awami Workers Party",4
"KPK","National Assembly","Humdardan-e-Watan Pakistan",1
"KPK","National Assembly","Independent",366
"KPK","National Assembly","Jamiat Ulama-e-lslam Nazaryati Pakistan",2
"KPK","National Assembly","Jamiyat Ulma-e-lslam Pakistan (S)",7
"KPK","National Assembly","Majlis Wahdat-e-Muslimeen Pakistan",1
"KPK","National Assembly","Mutahida Majlis-e-Amal Pakistan",46
"KPK","National Assembly","Mutahiddia Qabail Party",2
"KPK","National Assembly","National Party",1
"KPK","National Assembly","Page missing",13
"KPK","National Assembly","Pak Sarzameen Party",7
"KPK","National Assembly","Pakhtoonkhwa Milli Awami Party",7
"KPK","National Assembly","Pakistan Aman Tehreek",1
"KPK","National Assembly","Pakistan Awami Inqelabi League",1
"KPK","National Assembly","Pakistan Falah Party",1
"KPK","National Assembly","Pakistan Freedom Movement",1
"KPK","National Assembly","Pakistan Justice and Democratic Party",5
"KPK","National Assembly","Pakistan Muslim League",9
"KPK","National Assembly","Pakistan Muslim League (N)",41
"KPK","National Assembly","Pakistan Muslim League (Zia-ul-Haq Shaheed)",2
"KPK","National Assembly","Pakistan Peoples Party Parliamentarians",42
"KPK","National Assembly","Pakistan Reh-e- Haq Party",6
"KPK","National Assembly","Pakistan Tehreek-e-lnsaf",48
"KPK","National Assembly","Pakistan Tehreek-e-lnsaf-Gulalai",1
"KPK","National Assembly","Pasban Pakistan",1
"KPK","National Assembly","Qaumi Watan Party",15
"KPK","National Assembly","Tehreek Labbaik Pakistan",16
"KPK","National Assembly","Tehrik Jawanan Pakistan",5
"Punjab","National Assembly","Aam Admi Tehreek Pakistan",1
"Punjab","National Assembly","Aam Awam Party",2
"Punjab","National Assembly","Aam Log Party Pakistan",3
"Punjab","National Assembly","All Pakistan Muslim League",24
"Punjab","National Assembly","All Pakistan Muslim League (Jinnah)",2
"Punjab","National Assembly","Allah-O-Akbar Tehreek",48
"Punjab","National Assembly","Amun Taraqqi Party",7
"Punjab","National Assembly","Awam League",1
"Punjab","National Assembly","Awami Justice Party Pakistan",2
"Punjab","National Assembly","Awami Muslim League Pakistan",2
"Punjab","National Assembly","Awami National Party",3
"Punjab","National Assembly","Barabri Party Pakistan",7
"Punjab","National Assembly","Front National Pakistan",1
"Punjab","National Assembly","Illegible",9
"Punjab","National Assembly","Independent",719
"Punjab","National Assembly","Jamhoori Watan Party",3
"Punjab","National Assembly","Jamiat Ulema-e-Pakistan (Noorani)",1
"Punjab","National Assembly","Jannat Pakistan Party",1
"Punjab","National Assembly","Move on Pakistan",2
"Punjab","National Assembly","Mustaqbil Pakistan",4
"Punjab","National Assembly","Mutahida Majlis-e-Amal Pakistan",73
"Punjab","National Assembly","Muttahida Qaumi Movement Pakistan",2
"Punjab","National Assembly","National Party",6
"Punjab","National Assembly","Pak Sarzameen Party",7
"Punjab","National Assembly","Pakhtoonkhwa Milli Awami Party",1
"Punjab","National Assembly","Pakistan Aman Tehreek",1
"Punjab","National Assembly","Pakistan Awami League",2
"Punjab","National Assembly","Pakistan Awami Raj",12
"Punjab","National Assembly","Pakistan Falah Party",1
"Punjab","National Assembly","Pakistan Freedom Movement",3
"Punjab","National Assembly","Pakistan Human Party",5
"Punjab","National Assembly","Pakistan Human Rights Party",1
"Punjab","National Assembly","Pakistan Justice and Democratic Party",6
"Punjab","National Assembly","Pakistan Kissan Ittehad (Ch. Anwar)",7
"Punjab","National Assembly","Pakistan Muslim Alliance",1
"Punjab","National Assembly","Pakistan Muslim League",5
"Punjab","National Assembly","Pakistan Muslim League (Council)",1
"Punjab","National Assembly","Pakistan Muslim League (N)",129
"Punjab","National Assembly","Pakistan Muslim League (Zia-ul-Haq Shaheed)",2
"Punjab","National Assembly","Pakistan Muslim League Organization",1
"Punjab","National Assembly","Pakistan National Muslim League",3
"Punjab","National Assembly","Pakistan Peoples Party (Shaheed Bhutto)",4
"Punjab","National Assembly","Pakistan Peoples Party Parliamentarians",128
"Punjab","National Assembly","Pakistan Quami Yakjehti Party",5
"Punjab","National Assembly","Pakistan Reh-e- Haq Party",1
"Punjab","National Assembly","Pakistan Siraiki Party (T)",3
"Punjab","National Assembly","Pakistan Sunni Tehreek",8
"Punjab","National Assembly","Pakistan Supreme Democratic",1
"Punjab","National Assembly","Pakistan Tehreek-e-lnsaf",133
"Punjab","National Assembly","Pakistan Tehreek-e-lnsaf (Nazriati)",12
"Punjab","National Assembly","Pakistan Tehreek-e-lnsaf-Gulalai",3
"Punjab","National Assembly","Pakistan Tehreek-e-lnsaniat",1
"Punjab","National Assembly","Pakistan Welfare Party",2
"Punjab","National Assembly","Roshan Pakistan League",2
"Punjab","National Assembly","Saraikistan Democratic Party",1
"Punjab","National Assembly","Sunni Ittehad Council",2
"Punjab","National Assembly","Tehreek Labbaik Pakistan",122
"Punjab","National Assembly","Tehreek Tabdili Nizam Pakistan",2
"Punjab","National Assembly","Tehreek-e-Labbaik Islam",19
"Punjab","National Assembly","Tehrik Jawanan Pakistan",1
"Sindh","National Assembly","All Pakistan Muslim League",9
"Sindh","National Assembly","Allah-O-Akbar Tehreek",9
"Sindh","National Assembly","Amun Taraqqi Party",2
"Sindh","National Assembly","Awami National Party",11
"Sindh","National Assembly","Awami Workers Party",2
"Sindh","National Assembly","Barabri Party Pakistan",1
"Sindh","National Assembly","Grand Democratic Alliance",28
"Sindh","National Assembly","Independent",377
"Sindh","National Assembly","Jamiat Ulema-e-Pakistan (Noorani)",4
"Sindh","National Assembly","Jamiyat Ulma-e-lslam Pakistan (S)",1
"Sindh","National Assembly","Jannat Pakistan Party",2
"Sindh","National Assembly","Majlis Wahdat-e-Muslimeen Pakistan",4
"Sindh","National Assembly","Mohajir Qaumi Movement (Pakistan)",13
"Sindh","National Assembly","Mutahida Majlis-e-Amal Pakistan",53
"Sindh","National Assembly","Muttahida Qaumi Movement Pakistan",30
"Sindh","National Assembly","Pak Sarzameen Party",34
"Sindh","National Assembly","Pakhtoonkhwa Milli Awami Party",3
"Sindh","National Assembly","Pakistan Awami Raj",1
"Sindh","National Assembly","Pakistan Falah Party",3
"Sindh","National Assembly","Pakistan Justice and Democratic Party",6
"Sindh","National Assembly","Pakistan Kissan Ittehad (Ch. Anwar)",4
"Sindh","National Assembly","Pakistan Muslim Alliance",7
"Sindh","National Assembly","Pakistan Muslim League",1
"Sindh","National Assembly","Pakistan Muslim League (N)",33
"Sindh","National Assembly","Pakistan Muslim League sher-e-bangal a.k. Fazal-UI-Haque",2
"Sindh","National Assembly","Pakistan Peoples Party (Shaheed Bhutto)",7
"Sindh","National Assembly","Pakistan Peoples Party Parliamentarians",60
"Sindh","National Assembly","Pakistan Reh-e- Haq Party",12
"Sindh","National Assembly","Pakistan Sunni Tehreek",4
"Sindh","National Assembly","Pakistan Tehreek-e-lnsaf",48
"Sindh","National Assembly","Pakistan Tehreek-e-lnsaf-Gulalai",1
"Sindh","National Assembly","Pasban Pakistan",5
"Sindh","National Assembly","Peoples Movement of Pakistan",1
"Sindh","National Assembly","Sindh United Party",11
"Sindh","National Assembly","Tabdeeli Pasand Party (Pakistan)",3
"Sindh","National Assembly","Tehreek Labbaik Pakistan",29
"Sindh","National Assembly","Tehreek-e-Suba Hazara Pakistan",1
